rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons,key,adp,market,source,status,out,has_market,edge,thin,low_conf,model_value,model_only,expert_rank,expert_adp_rank,expert_tilt,expert_move
328,Tay Martin,WR,113,WAS,28.0,90.8,6.05,-46.0,1,,3,2,tay martin,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
329,Roman Wilson,WR,114,PIT,25.0,90.8,6.05,-46.0,1,,9,1,roman wilson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
330,Christian Kirk,WR,115,HOU,29.0,90.9,6.06,-45.9,1,Questionable,31,3,christian kirk,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
331,Isaiah Bond,WR,116,CLE,22.0,91.1,6.07,-45.7,1,,15,1,isaiah bond,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
332,Emanuel Wilson,RB,99,GB,27.0,91.4,6.3,-43.9,1,,39,3,emanuel wilson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
333,Cedric Tillman,WR,117,CLE,26.0,91.5,6.1,-45.3,1,,32,3,cedric tillman,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
334,Devontez Walker,WR,118,BAL,25.0,91.6,6.11,-45.2,1,,11,2,devontez walker,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
335,Darius Cooper,WR,119,PHI,24.0,92.0,6.13,-44.8,1,,6,1,darius cooper,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
336,Malik Davis,RB,100,DAL,27.0,92.2,6.36,-43.1,1,,11,2,malik davis,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
337,Brashard Smith,RB,101,KC,23.0,87.1,6.01,-48.2,1,,17,1,brashard smith,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
338,Miles Sanders,RB,102,DAL,28.0,87.4,6.03,-47.9,1,,31,3,miles sanders,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
339,Gunnar Helm,TE,47,TEN,23.0,87.8,5.85,-25.8,1,,16,1,gunnar helm,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
340,Kaden Davis,WR,120,CLE,27.0,87.9,5.86,-48.9,1,,2,2,kaden davis,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
341,Tyrell Shavers,WR,121,BUF,26.0,87.9,5.86,-48.9,1,PUP,12,2,tyrell shavers,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
342,Malik Cunningham,WR,122,DET,27.0,87.9,5.86,-48.9,1,,2,2,malik cunningham,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
343,Kevin Austin Jr.,WR,123,NO,26.0,87.9,5.86,-48.9,1,,13,2,kevin austin,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
344,Calvin Austin III,WR,124,PIT,27.0,88.6,5.91,-48.2,1,,47,3,calvin austin,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
345,Tre Harris,WR,125,LAC,24.0,88.6,5.91,-48.2,1,,16,1,tre harris,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
346,Cam Akers,RB,103,SEA,26.0,88.6,6.11,-46.7,1,,27,3,cam akers,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
347,Cole Kmet,TE,48,CHI,27.0,88.6,5.91,-25.0,1,,48,3,cole kmet,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
348,Adonai Mitchell,WR,126,NYJ,23.0,88.6,5.91,-48.2,1,,33,2,adonai mitchell,158.8,4,curve,,False,True,-3,False,False,0,1,,,0.0,0
349,Jonnu Smith,TE,49,PIT,30.0,88.8,5.92,-24.8,1,,51,3,jonnu smith,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
350,Evan Engram,TE,50,DEN,31.0,88.8,5.92,-24.8,1,,42,3,evan engram,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
351,Josh Palmer,WR,127,BUF,,88.8,5.92,-48.0,1,,37,3,josh palmer,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
352,Tutu Atwell,WR,128,LA,26.0,88.9,5.93,-47.9,1,,37,3,tutu atwell,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
353,Efton Chism III,WR,129,NE,24.0,83.2,5.55,-53.6,1,,8,1,efton chism,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
354,Mitchell Tinsley,WR,130,CIN,,83.4,5.56,-53.4,1,,8,1,mitchell tinsley,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
355,Konata Mumpfield,WR,131,LA,23.0,83.7,5.58,-53.1,1,,10,1,konata mumpfield,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
356,Jalen Tolbert,WR,132,DAL,27.0,84.0,5.6,-52.8,1,,43,3,jalen tolbert,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
357,Jaylin Lane,WR,133,WAS,24.0,84.2,5.61,-52.6,1,,15,1,jaylin lane,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
358,Kendrick Bourne,WR,134,SF,31.0,84.3,5.62,-52.5,1,,34,3,kendrick bourne,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
359,Greg Dulcich,TE,51,MIA,26.0,84.4,5.63,-29.2,1,,15,3,greg dulcich,,1,curve,,False,False,0,True,True,0,1,23.0,28.0,0.0,0
360,Isaiah Davis,RB,104,NYJ,24.0,84.4,5.82,-50.9,1,Questionable,29,2,isaiah davis,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
361,Nick Chubb,RB,105,HOU,30.0,84.7,5.84,-50.6,1,,25,3,nick chubb,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
362,Kaleb Johnson,RB,106,PIT,22.0,84.7,5.84,-50.6,1,,10,1,kaleb johnson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
363,Moliki Matavao,TE,52,NO,23.0,84.9,5.66,-28.7,1,,1,1,moliki matavao,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
364,Luke McCaffrey,WR,135,WAS,25.0,84.9,5.66,-51.9,1,,22,2,luke mccaffrey,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
365,Terrance Ferguson,TE,53,LA,23.0,85.4,5.69,-28.2,1,,11,1,terrance ferguson,,1,curve,,False,False,0,True,True,0,1,24.0,26.0,0.0,0
366,Casey Washington,WR,136,ATL,25.0,85.8,5.72,-51.0,1,,7,2,casey washington,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
367,Noah Brown,WR,137,WAS,30.0,86.7,5.78,-50.1,1,Questionable,25,3,noah brown,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
368,Jimmy Horn Jr.,WR,138,CAR,23.0,86.8,5.79,-50.0,1,,10,1,jimmy horn,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
369,John Metchie III,WR,139,NYJ,26.0,79.6,5.31,-57.2,1,,37,3,john metchie,122.2,8,curve,,False,True,-7,False,False,0,1,,,0.0,0
370,Ty Johnson,RB,107,BUF,28.0,79.9,5.51,-55.4,1,Questionable,43,3,ty johnson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
371,Malik Turner,WR,140,SF,30.0,80.1,5.34,-56.7,1,,2,1,malik turner,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
372,Beaux Collins,WR,141,NYG,,80.6,5.37,-56.2,1,,4,1,beaux collins,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
373,Olamide Zaccheaus,WR,142,CHI,29.0,80.8,5.39,-56.0,1,,41,3,olamide zaccheaus,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
374,Jack Bech,WR,143,LV,23.0,80.8,5.39,-56.0,1,,14,1,jack bech,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
375,Zavier Scott,RB,108,MIN,27.0,80.8,5.57,-54.5,1,,11,1,zavier scott,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
376,Chris Blair,WR,144,ATL,28.0,81.3,5.42,-55.5,1,,3,2,chris blair,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
377,Michael Bandy,WR,145,DEN,28.0,81.3,5.42,-55.5,1,,5,2,michael bandy,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
378,Clyde Edwards-Helaire,RB,109,KC,26.0,81.8,5.64,-53.5,1,,19,3,clyde edwards helaire,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
379,Drake Dabney,TE,54,GB,24.0,81.9,5.46,-31.7,1,,1,1,drake dabney,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
380,Tyler Higbee,TE,55,LA,33.0,82.2,5.48,-31.4,1,,28,3,tyler higbee,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
381,Thomas Fidone II,TE,56,NYG,23.0,82.2,5.48,-31.4,1,,1,1,thomas fidone,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
382,Mike Gesicki,TE,57,CIN,30.0,82.2,5.48,-31.4,1,,43,3,mike gesicki,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
383,Mack Hollins,WR,146,NE,32.0,82.5,5.5,-54.3,1,,43,3,mack hollins,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
384,Elijah Moore,WR,147,BUF,26.0,82.6,5.51,-54.2,1,,42,3,elijah moore,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
385,Darnell Washington,TE,58,PIT,24.0,76.2,5.08,-37.4,1,,34,3,darnell washington,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
386,Michael Mayer,TE,59,LV,25.0,76.4,5.09,-37.2,1,,37,3,michael mayer,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
387,Albert Okwuegbunam,TE,60,LV,28.0,76.5,5.1,-37.1,1,,2,2,albert okwuegbunam,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
388,Demarcus Robinson,WR,148,SF,31.0,76.8,5.12,-60.0,1,,39,3,demarcus robinson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
389,Roschon Johnson,RB,110,CHI,25.0,76.8,5.3,-58.5,1,,34,3,roschon johnson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
390,Greg Dortch,WR,149,ARI,28.0,77.1,5.14,-59.7,1,,45,3,greg dortch,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
391,Dawson Knox,TE,61,BUF,29.0,77.7,5.18,-35.9,1,,40,3,dawson knox,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
392,Hayden Rucci,TE,62,MIA,25.0,78.0,5.2,-35.6,1,,1,1,hayden rucci,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
393,Noah Fant,TE,63,CIN,28.0,78.0,5.2,-35.6,1,,42,3,noah fant,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
394,Tyler Johnson,WR,150,NYJ,27.0,78.3,5.22,-58.5,1,,21,3,tyler johnson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
395,Keleki Latu,TE,64,BUF,23.0,78.6,5.24,-35.0,1,,3,1,keleki latu,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
396,Dylan Drummond,WR,151,ATL,26.0,78.6,5.24,-58.2,1,,6,1,dylan drummond,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
397,Myles Gaskin,RB,111,SEA,28.0,78.6,5.42,-56.7,1,,5,2,myles gaskin,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
398,Dont'e Thornton Jr.,WR,152,LV,23.0,78.8,5.25,-58.0,1,Questionable,11,1,donte thornton,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
399,KaVontae Turpin,WR,153,DAL,30.0,79.2,5.28,-57.6,1,,48,3,kavontae turpin,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
400,Emari Demercado,RB,112,ARI,27.0,79.6,5.49,-55.7,1,,36,3,emari demercado,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
401,Curtis Samuel,WR,154,BUF,29.0,72.9,4.86,-63.9,1,,36,3,curtis samuel,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
402,Jackson Hawes,TE,65,BUF,25.0,72.9,4.86,-40.7,1,,13,1,jackson hawes,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
403,Zamir White,RB,113,LV,26.0,73.1,5.04,-62.2,1,,26,3,zamir white,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
404,Jordan Mims,RB,114,TEN,27.0,73.4,5.06,-61.9,1,,11,3,jordan mims,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
405,Josh Reynolds,WR,155,NYJ,31.0,73.4,4.89,-63.4,1,Questionable,29,3,josh reynolds,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
406,Xavier Weaver,WR,156,ARI,25.0,73.4,4.89,-63.4,1,Questionable,9,2,xavier weaver,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
407,Savion Williams,WR,157,GB,24.0,73.5,4.9,-63.3,1,,12,1,savion williams,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
408,Ja'Tavion Sanders,TE,66,CAR,23.0,73.6,4.91,-40.0,1,,27,2,jatavion sanders,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
409,LeQuint Allen Jr.,RB,115,JAX,22.0,73.7,5.08,-61.6,1,,16,1,lequint allen,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
410,British Brooks,RB,116,HOU,26.0,74.4,5.13,-60.9,1,Questionable,10,2,british brooks,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
411,Xavier Hutchinson,WR,158,HOU,26.0,74.4,4.96,-62.4,1,,42,3,xavier hutchinson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
412,KeAndre Lambert-Smith,WR,159,LAC,24.0,74.7,4.98,-62.1,1,,10,1,keandre lambert smith,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
413,Allen Lazard,WR,160,NYJ,30.0,74.7,4.98,-62.1,1,,35,3,allen lazard,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
414,Dameon Pierce,RB,117,KC,26.0,75.5,5.21,-59.8,1,Questionable,29,3,dameon pierce,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
415,George Holani,RB,118,SEA,26.0,75.8,5.23,-59.5,1,,13,2,george holani,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
416,DeAndre Hopkins,WR,161,BAL,33.0,76.1,5.07,-60.7,1,,50,3,deandre hopkins,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
417,Isaiah Williams,WR,162,NYJ,25.0,70.6,4.71,-66.2,1,,23,2,isaiah williams,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
418,Adam Thielen,WR,163,PIT,35.0,70.8,4.72,-66.0,1,,41,3,adam thielen,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
419,David Sills,WR,164,ATL,30.0,70.8,4.72,-66.0,1,,12,1,david sills,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
420,Lil'Jordan Humphrey,WR,165,DEN,28.0,70.8,4.72,-66.0,1,,32,3,liljordan humphrey,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
421,AJ Dillon,RB,119,PHI,28.0,71.2,4.91,-64.1,1,,21,2,aj dillon,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
422,Gary Brightwell,RB,120,CIN,28.0,71.2,4.91,-64.1,1,,7,3,gary brightwell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
423,Ray-Ray McCloud,WR,166,NYG,29.0,71.4,4.76,-65.4,1,,35,3,ray ray mccloud,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
424,Tahj Brooks,RB,121,CIN,24.0,71.6,4.94,-63.7,1,,12,1,tahj brooks,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
425,Isaiah Hodgins,WR,167,NYG,27.0,71.7,4.78,-65.1,1,,22,3,isaiah hodgins,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
426,Cody White,WR,168,SEA,27.0,71.8,4.79,-65.0,1,,10,2,cody white,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
427,Travis Vokolek,TE,67,ARI,27.0,72.4,4.83,-41.2,1,,1,1,travis vokolek,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
428,Isaac Guerendo,RB,122,SF,26.0,72.4,4.99,-62.9,1,PUP,23,2,isaac guerendo,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
429,Taysom Hill,TE,68,NO,35.0,72.6,4.84,-41.0,1,,37,3,taysom hill,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
430,Hunter Renfrow,WR,169,CAR,30.0,72.8,4.85,-64.0,1,,20,2,hunter renfrow,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
431,Zay Jones,WR,170,ARI,30.0,72.8,4.85,-64.0,1,,21,3,zay jones,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
432,Brandin Cooks,WR,171,BUF,32.0,72.9,4.86,-63.9,1,,39,3,brandin cooks,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
433,Nick Westbrook-Ikhine,WR,172,MIA,29.0,68.2,4.55,-68.6,1,,40,3,nick westbrook ikhine,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
434,Jakob Johnson,RB,123,HOU,,68.2,4.7,-67.1,1,,11,3,jakob johnson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
435,Jelani Woods,TE,69,NYJ,27.0,68.2,4.55,-45.4,1,,2,1,jelani woods,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
436,Zaire Mitchell-Paden,TE,70,NO,26.0,68.4,4.56,-45.2,1,,3,1,zaire mitchell paden,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
437,E.J. Jenkins,TE,71,PHI,27.0,68.4,4.56,-45.2,1,,3,2,ej jenkins,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
438,Jacob Saylors,RB,124,DET,25.0,68.6,4.73,-66.7,1,,11,1,jacob saylors,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
439,Carter Runyon,TE,72,LV,25.0,68.6,4.57,-45.0,1,,3,1,carter runyon,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
440,Devin Culp,TE,73,TB,26.0,68.7,4.58,-44.9,1,,6,2,devin culp,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
441,Sterling Shepard,WR,173,TB,33.0,69.0,4.6,-67.8,1,,36,3,sterling shepard,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
442,Jason Brownlee,WR,174,KC,27.0,69.2,4.61,-67.6,1,,7,2,jason brownlee,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
443,Mitchell Evans,TE,74,CAR,23.0,69.3,4.62,-44.3,1,,14,1,mitchell evans,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
444,Dyami Brown,WR,175,JAX,26.0,69.6,4.64,-67.2,1,,42,3,dyami brown,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
445,Andre Baccellia,WR,176,ARI,29.0,69.9,4.66,-66.9,1,Questionable,5,2,andre baccellia,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
446,Jared Wiley,TE,75,KC,25.0,70.0,4.67,-43.6,1,,3,2,jared wiley,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
447,Tyler Conklin,TE,76,LAC,31.0,70.0,4.67,-43.6,1,,39,3,tyler conklin,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
448,Malachi Corley,WR,177,CLE,24.0,70.2,4.68,-66.6,1,,17,2,malachi corley,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
449,Van Jefferson,WR,178,TEN,30.0,65.6,4.37,-71.2,1,,43,3,van jefferson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
450,Kalif Raymond,WR,179,DET,32.0,65.6,4.37,-71.2,1,,44,3,kalif raymond,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
451,Sal Cannella,TE,77,CLE,29.0,65.6,4.37,-48.0,1,,2,1,sal cannella,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
452,Samaje Perine,RB,125,CIN,30.0,66.0,4.55,-69.3,1,,49,3,samaje perine,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
453,Josh Oliver,TE,78,MIN,29.0,66.3,4.42,-47.3,1,,37,3,josh oliver,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
454,Daniel Bellinger,TE,79,NYG,25.0,66.6,4.44,-47.0,1,,39,3,daniel bellinger,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
455,Ronnie Bell,WR,180,NO,26.0,66.6,4.44,-70.2,1,,19,3,ronnie bell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
456,Malik Heath,WR,181,GB,25.0,66.6,4.44,-70.2,1,,24,3,malik heath,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
457,Shane Zylstra,TE,80,DET,29.0,66.6,4.44,-47.0,1,,3,2,shane zylstra,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
458,JuJu Smith-Schuster,WR,182,KC,29.0,67.0,4.47,-69.8,1,Questionable,39,3,juju smith schuster,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
459,Jahan Dotson,WR,183,PHI,26.0,67.0,4.47,-69.8,1,,46,3,jahan dotson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
460,Treylon Burks,WR,184,WAS,26.0,67.2,4.48,-69.6,1,,22,3,treylon burks,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
461,Tommy Tremble,TE,81,CAR,26.0,67.4,4.49,-46.2,1,,40,3,tommy tremble,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
462,Tyler Lockett,WR,185,LV,33.0,67.6,4.51,-69.2,1,,51,3,tyler lockett,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
463,Bryce Oliver,WR,186,TEN,26.0,68.0,4.53,-68.8,1,,10,2,bryce oliver,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
464,James Mitchell,TE,82,CAR,27.0,68.1,4.54,-45.5,1,,4,2,james mitchell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
465,Nick Kallerup,TE,83,SEA,25.0,63.4,4.23,-50.2,1,,4,1,nick kallerup,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
466,Justin Watson,WR,187,HOU,30.0,63.4,4.23,-73.4,1,,33,3,justin watson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
467,Tyler Badie,RB,126,DEN,26.0,63.7,4.39,-71.6,1,,19,2,tyler badie,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
468,Marquez Valdes-Scantling,WR,188,PIT,31.0,63.8,4.25,-73.0,1,Questionable,38,3,marquez valdes scantling,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
469,Arian Smith,WR,189,NYJ,24.0,63.9,4.26,-72.9,1,,13,1,arian smith,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
470,Tai Felton,WR,190,MIN,23.0,63.9,4.26,-72.9,1,,12,1,tai felton,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
471,David Moore,WR,191,CAR,31.0,63.9,4.26,-72.9,1,,24,3,david moore,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
472,Elijah Arroyo,TE,84,SEA,23.0,64.0,4.27,-49.6,1,,13,1,elijah arroyo,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
473,Austin Hooper,TE,85,NE,31.0,64.0,4.27,-49.6,1,,46,3,austin hooper,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
474,Robbie Chosen,WR,192,WAS,32.0,64.0,4.27,-72.8,1,,10,3,robbie chosen,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
475,Princeton Fant,TE,86,DAL,,64.6,4.31,-49.0,1,,2,2,princeton fant,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
476,Trevor Etienne,RB,127,CAR,22.0,65.0,4.48,-70.3,1,,17,1,trevor etienne,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
477,Samori Toure,WR,193,NO,28.0,65.0,4.33,-71.8,1,,9,2,samori toure,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
478,Tim Patrick,WR,194,JAX,32.0,65.1,4.34,-71.7,1,,28,2,tim patrick,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
479,Mason Tipton,WR,195,NO,25.0,65.1,4.34,-71.7,1,PUP,17,2,mason tipton,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
480,Khalil Herbert,RB,128,NYJ,28.0,65.4,4.51,-69.9,1,,28,3,khalil herbert,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
481,Chris Moore,WR,196,WAS,33.0,60.4,4.03,-76.4,1,,25,2,chris moore,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
482,Jeremy McNichols,RB,129,WAS,30.0,60.5,4.17,-74.8,1,Questionable,33,3,jeremy mcnichols,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
483,Will Dissly,TE,87,LAC,29.0,60.6,4.04,-53.0,1,Questionable,36,3,will dissly,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
484,Rasheen Ali,RB,130,BAL,25.0,60.8,4.19,-74.5,1,,20,2,rasheen ali,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
485,Tanner Hudson,TE,88,CIN,31.0,60.8,4.05,-52.8,1,,31,3,tanner hudson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
486,Ben Yurosek,TE,89,MIN,24.0,60.9,4.06,-52.7,1,,6,1,ben yurosek,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
487,Ryan Miller,WR,197,TB,26.0,61.4,4.09,-75.4,1,,18,2,ryan miller,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
488,Jamari Thrash,WR,198,CLE,,61.5,4.1,-75.3,1,,14,2,jamari thrash,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
489,Ben Sinnott,TE,90,WAS,24.0,61.6,4.11,-52.0,1,,16,2,ben sinnott,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
490,Ty Chandler,RB,131,MIN,28.0,61.8,4.26,-73.5,1,,33,3,ty chandler,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
491,Brenden Bates,TE,91,CLE,26.0,61.8,4.12,-51.8,1,,6,2,brenden bates,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
492,Jordan Whittington,WR,199,LA,25.0,62.0,4.13,-74.8,1,,29,2,jordan whittington,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
493,Noah Gray,TE,92,KC,27.0,62.4,4.16,-51.2,1,,46,3,noah gray,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
494,Davis Allen,TE,93,LA,25.0,63.0,4.2,-50.6,1,Questionable,29,3,davis allen,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
495,Nikola Kalinic,TE,94,CHI,29.0,63.2,4.21,-50.4,1,,2,1,nikola kalinic,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
496,Luke Musgrave,TE,95,GB,25.0,63.3,4.22,-50.3,1,PUP,31,3,luke musgrave,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
497,Brycen Tremayne,WR,200,CAR,26.0,58.2,3.88,-78.6,1,,17,2,brycen tremayne,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
498,Tom Kennedy,WR,201,DET,30.0,58.2,3.88,-78.6,1,,9,2,tom kennedy,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
499,Hunter Long,TE,96,JAX,27.0,58.4,3.89,-55.2,1,,19,3,hunter long,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
500,Cam Grandy,TE,97,CIN,26.0,59.0,3.93,-54.6,1,,6,2,cam grandy,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
501,Dante Pettis,WR,202,NO,30.0,59.1,3.94,-77.7,1,,16,2,dante pettis,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
